MLII,V4,samples,seconds,annotations
-1.0,-0.685,0,0.0,
-1.0,-0.685,1,0.002777777777777778,
-1.0,-0.685,2,0.005555555555555556,
-1.0,-0.685,3,0.008333333333333333,
-1.0,-0.685,4,0.011111111111111112,
-1.0,-0.685,5,0.013888888888888888,
-1.0,-0.685,6,0.016666666666666666,
-0.985,-0.68,7,0.019444444444444445,
-0.97,-0.68,8,0.022222222222222223,
-0.97,-0.695,9,0.025,
-0.97,-0.695,10,0.027777777777777776,
-0.97,-0.695,11,0.030555555555555555,
-0.98,-0.705,12,0.03333333333333333,
-0.975,-0.705,13,0.03611111111111111,
-0.975,-0.695,14,0.03888888888888889,
-0.985,-0.69,15,0.041666666666666664,
-0.98,-0.69,16,0.044444444444444446,
-0.97,-0.67,17,0.04722222222222222,
-0.975,-0.675,18,0.05,
-0.955,-0.665,19,0.05277777777777778,
-0.945,-0.675,20,0.05555555555555555,
-0.95,-0.675,21,0.058333333333333334,
-0.965,-0.68,22,0.06111111111111111,
-0.95,-0.68,23,0.06388888888888888,
-0.955,-0.685,24,0.06666666666666667,
-0.96,-0.69,25,0.06944444444444445,
-0.96,-0.69,26,0.07222222222222222,
-0.965,-0.68,27,0.075,
-0.97,-0.67,28,0.07777777777777778,
-0.965,-0.665,29,0.08055555555555556,
-0.95,-0.66,30,0.08333333333333333,
-0.95,-0.65,31,0.08611111111111111,
-0.925,-0.655,32,0.08888888888888889,
-0.93,-0.66,33,0.09166666666666666,
-0.94,-0.66,34,0.09444444444444444,
-0.935,-0.665,35,0.09722222222222222,
-0.94,-0.665,36,0.1,
-0.95,-0.67,37,0.10277777777777777,
-0.965,-0.675,38,0.10555555555555556,
-0.96,-0.675,39,0.10833333333333334,
-0.95,-0.665,40,0.1111111111111111,
-0.955,-0.66,41,0.11388888888888889,
-0.94,-0.655,42,0.11666666666666667,
-0.945,-0.65,43,0.11944444444444445,
-0.925,-0.66,44,0.12222222222222222,
-0.925,-0.66,45,0.125,
-0.93,-0.665,46,0.12777777777777777,
-0.93,-0.68,47,0.13055555555555556,
-0.935,-0.675,48,0.13333333333333333,
-0.945,-0.675,49,0.1361111111111111,
-0.95,-0.675,50,0.1388888888888889,
-0.95,-0.675,51,0.14166666666666666,
-0.945,-0.66,52,0.14444444444444443,
-0.94,-0.66,53,0.14722222222222223,
-0.935,-0.655,54,0.15,
-0.92,-0.655,55,0.1527777777777778,
-0.92,-0.64,56,0.15555555555555556,
